"BLOCK_ID";"USER_APP";"DATE";"LAT";"LONG";"TYPE_HOUSE";"RAISE_DOG_HOUSE";"NUMBER_DOG_HOUSE";"NUMBER_DOG_VACCINATED_2024";"NUMBER_DOG_VACCINATED_SWEEP";"HEAD_OR_OBSERVE_DOGS_INSIDE_HOUSE";"MULTIFAMILY";"CLUSTER"
"1.29.52-18";"VP04";"2025-07-19T08:36:23.298863";"-16.30641";"-71.627221700000007";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster19"
"1.29.52-3";"VP04";"2025-07-19T08:39:24.338549";"-16.306384300000001";"-71.627210500000004";"DOG_ANOTHER_AREA";NA;1;"0";1;NA;"no";"cluster19"
"1.29.52-6";"VP04";"2025-07-19T08:41:51.613834";"-16.3067517";"-71.627425000000002";"P";"si";2;"0";1;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T08:45:57.772569";"-16.306828400000001";"-71.627592699999994";"P";"si";5;"0";1;NA;"no";"cluster19"
"1.4.157-12";"VP01";"2025-07-19T08:48:27.147680";"-16.319039700000001";"-71.605447600000005";"P";"si";3;"1";3;NA;"no";"cluster19"
"1.29.52-5";"VP04";"2025-07-19T08:51:01.206663";"-16.307316";"-71.6278401";"P";"si";1;"0";1;NA;"no";"cluster19"
"1.4.157-8";"VP01";"2025-07-19T09:00:24.354040";"-16.3184617";"-71.605249999999998";"LV";NA;NA;NA;NA;NA;"no";"cluster19"
"1.4.157-1";"VP01";"2025-07-19T09:01:42.290528";"-16.318368899999999";"-71.605356400000005";"LV";NA;NA;NA;NA;NA;"no";"cluster19"
"1.4.157-8";"VP01";"2025-07-19T09:00:24.354040";"-16.3184617";"-71.605249999999998";"LV";NA;NA;NA;NA;NA;"no";"cluster19"
"1.4.157-8";"VP01";"2025-07-19T08:59:48.430835";"-16.3184617";"-71.605249999999998";"LV";NA;NA;NA;NA;NA;"no";"cluster19"
"1.29.38-1";"VP01";"2025-07-19T09:02:57.971395";"-16.318395299999999";"-71.605381300000005";"C";NA;NA;NA;NA;"no";"no";"cluster19"
"1.29.52-21";"VP04";"2025-07-19T09:07:08.864620";"-16.307823500000001";"-71.628196099999997";"P";"si";4;"0";4;NA;"no";"cluster19"
"1.29.52-1";"VP04";"2025-07-19T09:07:53.795367";"-16.3082207";"-71.627752099999995";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T09:11:56.561117";"-16.307496100000002";"-71.627251000000001";"P";"si";2;"0";2;NA;"no";"cluster19"
"1.29.52-1";"VP04";"2025-07-19T09:12:12.123785";"-16.3075112";"-71.627251000000001";"DOG_ANOTHER_AREA";NA;1;"0";1;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T09:16:08.968450";"-16.307306100000002";"-71.627066799999994";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster19"
"1.29.52-20";"VP04";"2025-07-19T09:24:25.239370";"-16.307208899999999";"-71.627094499999998";"P";"si";3;"0";3;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T09:24:50.770088";"-16.307141399999999";"-71.627023899999998";"DOG_ANOTHER_AREA";NA;1;"0";1;NA;"no";"cluster19"
"1.29.52-20";"VP04";"2025-07-19T09:25:03.211214";"-16.307151699999999";"-71.627006600000001";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster19"
"1.29.52-21";"VP04";"2025-07-19T09:25:21.181208";"-16.307151699999999";"-71.627006699999995";"DOG_ANOTHER_AREA";NA;1;"0";1;NA;"no";"cluster19"
"1.29.52-2";"VP04";"2025-07-19T09:28:08.988713";"-16.307069200000001";"-71.626949100000004";"P";"si";1;"0";1;NA;"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:29:06.908353";"-16.320215000000001";"-71.606968300000005";"C";NA;NA;NA;NA;"si";"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:32:46.656360";"-16.3198483";"-71.607611700000007";"C";NA;NA;NA;NA;"no";"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:32:56.868069";"-16.3198483";"-71.607611700000007";"C";NA;NA;NA;NA;"no";"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:33:21.981742";"-16.3198483";"-71.607611700000007";"C";NA;NA;NA;NA;"no";"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:33:53.246546";"-16.319838799999999";"-71.607610100000002";"P";"si";1;"0";1;NA;"no";"cluster19"
"1.29.52-21";"VP04";"2025-07-19T09:36:45.757995";"-16.307373699999999";"-71.626641899999996";"P";"si";3;"0";3;NA;"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:42:51.510591";"-16.319877000000002";"-71.6077394";"P";"si";1;"1";0;NA;"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:43:40.058749";"-16.3198331";"-71.607699400000001";"C";NA;NA;NA;NA;"si";"no";"cluster19"
"1.29.52-1";"VP04";"2025-07-19T09:44:03.341018";"-16.308112000000001";"-71.626915199999999";"DOG_ANOTHER_AREA";NA;4;"0";4;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T09:45:55.604431";"-16.308222900000001";"-71.627140100000005";"P";"si";1;"0";1;NA;"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:44:15.342092";"-16.319845000000001";"-71.607704999999996";"DOG_ANOTHER_AREA";NA;1;"1";0;NA;"no";"cluster19"
"1.29.52-19";"VP04";"2025-07-19T09:46:58.672266";"-16.308482300000001";"-71.627153399999997";"P";"si";1;"0";1;NA;"no";"cluster19"
"1.29.52-20";"VP04";"2025-07-19T09:49:41.035336";"-16.308322199999999";"-71.626425699999999";"P";"no";NA;NA;NA;NA;"no";"cluster19"
"1.29.52-20";"VP04";"2025-07-19T09:49:58.690935";"-16.3083417";"-71.626301100000006";"C";NA;NA;NA;NA;"no";"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T09:50:10.714864";"-16.308281000000001";"-71.626293099999998";"D";NA;NA;NA;NA;NA;"no";"cluster19"
"1.29.51-1";"VP04";"2025-07-19T09:50:19.899420";"-16.308216600000002";"-71.626265500000002";"C";NA;NA;NA;NA;"si";"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T09:50:37.222073";"-16.320103799999998";"-71.607914899999997";"C";NA;NA;NA;NA;"si";"no";"cluster19"
"1.29.52-19";"VP04";"2025-07-19T09:50:47.725875";"-16.308153999999998";"-71.626273800000007";"P";"si";2;"0";2;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T09:57:17.726934";"-16.3081563";"-71.626207399999998";"C";NA;NA;NA;NA;"si";"no";"cluster19"
"1.29.52-2";"VP04";"2025-07-19T09:57:33.440733";"-16.308015600000001";"-71.626184899999998";"C";NA;NA;NA;NA;"no";"no";"cluster19"
"1.29.48-8";"VP04";"2025-07-19T09:59:11.322587";"-16.3078781";"-71.626132600000005";"P";"si";4;"0";4;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T10:00:56.179424";"-16.307831700000001";"-71.626140000000007";"D";NA;NA;NA;NA;NA;"no";"cluster19"
"1.29.52-18";"VP04";"2025-07-19T10:01:07.490337";"-16.3078556";"-71.626081799999994";"D";NA;NA;NA;NA;NA;"no";"cluster19"
"1.29.39-3";"VP01";"2025-07-19T10:00:38.048289";"-16.320233099999999";"-71.607730599999996";"P";"si";1;"1";0;NA;"no";"cluster19"
